u,7380,204,14644,69,-117,191
u,10196,528,12652,-8,5,-4
u,14468,-680,6992,122,-37,42
u,8756,-1624,13344,234,220,-2
u,9264,-508,13536,155,50,97
u,12684,-2496,9580,40,80,-67
u,9560,-5168,11780,75,31,25
u,9696,-4660,11832,248,338,301
u,14096,-156,7976,111,40,83
u,11952,-5440,9800,-261,-305,644
u,13260,-2676,8444,-128,260,370
u,12524,-2804,9924,170,43,148
u,10276,-2196,11872,-37,653,80
u,13100,-5400,7964,367,901,533
u,12768,-576,10064,-115,-193,-37
u,9460,-4652,12424,-219,-633,-183
u,11548,-1196,11548,16,-149,-8
u,-8684,-752,13612,5,262,-88
u,-9480,-2448,12400,-151,-66,246
u,13440,296,9164,57,379,286
u,10524,-2988,12156,33,60,260
u,920,-892,16112,98,-31,108
u,12384,-3056,10292,69,-225,19
d,-16076,580,36,159,167,232
d,-15008,1148,5728,132,343,-43
d,-11084,-2748,10912,387,-124,-49
d,-16048,1660,1728,31,310,283
d,-14640,-1852,5820,182,132,141
d,-15328,276,4224,290,330,534
d,-10812,-4348,11176,-66,249,-5
d,-15984,-1204,1840,112,-65,-214
d,-15876,-1664,2524,130,-116,-307
d,-15404,8,308,318,91,-186
d,-9560,-3472,12084,20,-122,130
d,-16160,-764,1696,53,-217,-82
d,-16636,1156,-428,85,489,140
d,-15360,192,-4704,-22,376,752
d,-16476,1252,-176,121,73,47
d,-7044,-5112,13504,136,44,28
d,-16364,320,-568,-199,145,124
d,-15956,704,-1064,-47,-134,158
d,-15900,776,2408,-27,173,348
d,-15208,48,2880,814,83,-328
d,-10624,-5468,11136,147,137,10
d,-13408,-6900,4096,194,327,337
d,-15972,-1800,2512,-273,15,-167
l,-2700,-5652,14760,242,411,-972
l,-4524,-7280,13696,92,222,208
l,-1388,-16136,-872,449,160,37
l,148,-15556,-4760,135,131,70
l,-636,-3540,15832,45,173,3
l,-3212,-4796,15144,-57,180,161
l,-2060,-7788,14064,141,-63,-188
l,-1968,-2588,15856,-302,209,331
l,-2748,-3392,15572,113,-85,117
l,-7464,-5028,13552,45,-63,-55
l,-9604,-608,12912,9,664,463
l,-11644,-1624,10564,123,63,-78
l,-6412,-9924,11384,49,287,313
l,-12864,-8,9656,-91,148,298
l,-2212,-14552,6024,-248,-5,306
l,-3076,-4136,15268,51,330,478
l,-14660,-2772,5060,0,-485,-286
l,-3040,-3484,15356,-444,676,641
l,-5336,-2632,15268,-41,353,-163
l,-13356,-2628,8624,25,168,77
l,-12032,-6168,8816,-89,663,34
l,-11764,-8052,7800,-427,426,-183
l,-8976,-5928,11888,225,126,104
r,-9032,-2576,12804,138,-27,-66
r,-9012,-4324,12784,150,194,29
r,-10484,-6128,12544,493,302,235
r,-4928,12744,8896,232,156,203
r,-6044,-15452,432,820,-542,-954
r,-6924,-364,14196,498,222,-69
r,-7000,524,14800,102,-159,77
r,-7388,11556,8676,66,-71,-305
r,-13268,560,9296,465,78,115
r,-13512,3316,8064,267,-54,23
r,3252,-8372,13948,528,622,-39
r,-1900,-1220,15908,214,249,-85
r,-9504,-3896,11828,210,279,-240
r,-10480,-5620,10976,136,221,164
r,-7668,832,13876,-17,173,212
r,-9388,-5420,12388,76,215,-7
r,-9304,-4752,12832,316,226,-76
r,-9292,-4684,11960,98,301,97
r,-8256,-3044,13756,76,-186,-19
r,-9708,-264,12736,103,351,126
r,-8676,-6516,12032,170,227,362
r,-7148,-6992,12488,-148,301,-120
r,-7348,-4944,13424,303,261,140
